Customer_ID,Revenue,Profit,Orders
1,980000,294000.0,7
34,940000,282000.0,8
27,840000,252000.0,5
21,736000,220800.0,6
10,580000,174000.0,5
13,545000,163500.0,5
26,539000,161700.0,6
17,526000,157800.0,8
5,521000,156300.0,9
18,520000,156000.0,4
15,488000,146400.0,3
29,460000,138000.0,3
6,455000,136500.0,4
14,355000,106500.0,3
2,337000,101100.00000000001,3
22,302000,90600.0,3
30,286000,85800.0,6
38,283000,84900.00000000001,4
31,261000,78300.0,3
35,260000,78000.0,2
8,256000,76800.0,2
28,255000,76500.0,4
11,254000,76200.0,4
32,242000,72600.0,4
23,240000,72000.0,3
33,230000,69000.0,4
12,165000,49500.0,2
36,160000,48000.0,1
3,152000,45600.0,4
40,135000,40500.0,2
9,129000,38700.0,3
16,120000,36000.0,2
4,113000,33900.0,4
24,105000,31500.0,2
25,93000,27900.000000000004,3
19,75000,22500.000000000004,2
39,68000,20400.0,2
20,48000,14400.0,2
37,48000,14400.0,3
