Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1,1,7,980000,5,5,5,555,Champions
2,43,3,337000,2,2,4,224,At Risk
3,28,4,152000,3,3,2,332,Potential Customers
4,32,4,113000,3,3,1,331,Potential Customers
5,15,9,521000,4,5,4,454,Champions
6,17,4,455000,4,3,4,434,Potential Customers
8,35,2,256000,2,1,3,213,At Risk
9,8,3,129000,5,2,2,522,Potential Customers
10,50,5,580000,1,4,5,145,Loyal Customers
11,37,4,254000,2,4,3,243,Loyal Customers
12,14,2,165000,4,1,2,412,Potential Customers
13,42,5,545000,2,4,5,245,Loyal Customers
14,11,3,355000,4,2,4,424,Potential Customers
15,58,3,488000,1,2,4,124,At Risk
16,36,2,120000,2,1,1,211,At Risk
17,4,8,526000,5,5,5,555,Champions
18,21,4,520000,4,4,4,444,Champions
19,24,2,75000,3,1,1,311,Potential Customers
20,48,2,48000,1,1,1,111,At Risk
21,18,6,736000,4,5,5,455,Champions
22,6,3,302000,5,2,4,524,Potential Customers
23,40,3,240000,2,2,2,222,At Risk
24,47,2,105000,2,1,1,211,At Risk
25,31,3,93000,3,3,1,331,Potential Customers
26,3,6,539000,5,5,5,555,Champions
27,9,5,840000,5,5,5,555,Champions
28,20,4,255000,4,4,3,443,Loyal Customers
29,26,3,460000,3,3,4,334,Potential Customers
30,5,6,286000,5,5,3,553,Loyal Customers
31,38,3,261000,2,3,3,233,At Risk
32,25,4,242000,3,4,2,342,Loyal Customers
33,60,4,230000,1,4,2,142,Loyal Customers
34,12,8,940000,4,5,5,455,Champions
35,119,2,260000,1,1,3,113,At Risk
36,2,1,160000,5,1,2,512,Potential Customers
37,76,3,48000,1,3,1,131,At Risk
38,61,4,283000,1,4,3,143,Loyal Customers
39,71,2,68000,1,2,1,121,At Risk
40,33,2,135000,3,2,2,322,Potential Customers
