Order_ID,Customer_ID,Product,Region,Quantity,Unit_Price,Order_Date,Revenue
1001,27,Accessories,West,5,60000,2024-01-01,300000
1002,17,Laptop,East,4,60000,2024-01-02,240000
1003,9,Tablet,North,5,15000,2024-01-03,75000
1004,33,Laptop,South,4,15000,2024-01-04,60000
1005,20,Accessories,South,5,8000,2024-01-05,40000
1006,13,Tablet,West,5,60000,2024-01-06,300000
1007,28,Tablet,South,5,25000,2024-01-07,125000
1008,29,Tablet,North,4,60000,2024-01-08,240000
1009,13,Accessories,South,4,25000,2024-01-09,100000
1010,35,Mobile,East,5,40000,2024-01-10,200000
1011,6,Mobile,East,2,60000,2024-01-11,120000
1012,18,Mobile,West,3,40000,2024-01-12,120000
1013,5,Accessories,North,3,15000,2024-01-13,45000
1014,25,Tablet,East,3,15000,2024-01-14,45000
1015,2,Mobile,East,4,8000,2024-01-15,32000
1016,10,Accessories,North,4,60000,2024-01-16,240000
1017,30,Mobile,South,2,40000,2024-01-17,80000
1018,5,Laptop,South,3,25000,2024-01-18,75000
1019,33,Mobile,West,3,15000,2024-01-19,45000
1020,1,Mobile,South,5,15000,2024-01-20,75000
1021,18,Tablet,North,4,25000,2024-01-21,100000
1022,32,Accessories,East,3,40000,2024-01-22,120000
1023,11,Tablet,South,2,40000,2024-01-23,80000
1024,21,Tablet,West,2,60000,2024-01-24,120000
1025,26,Tablet,South,3,60000,2024-01-25,180000
1026,25,Tablet,North,4,8000,2024-01-26,32000
1027,22,Tablet,West,2,15000,2024-01-27,30000
1028,27,Mobile,South,5,60000,2024-01-28,300000
1029,13,Tablet,West,2,40000,2024-01-29,80000
1030,33,Tablet,North,1,25000,2024-01-30,25000
1031,34,Accessories,East,1,40000,2024-01-31,40000
1032,35,Laptop,North,4,15000,2024-02-01,60000
1033,1,Mobile,North,3,40000,2024-02-02,120000
1034,21,Mobile,North,4,8000,2024-02-03,32000
1035,6,Mobile,North,4,15000,2024-02-04,60000
1036,28,Tablet,East,4,25000,2024-02-05,100000
1037,17,Tablet,East,4,8000,2024-02-06,32000
1038,5,Tablet,West,5,15000,2024-02-07,75000
1039,31,Accessories,South,5,25000,2024-02-08,125000
1040,5,Laptop,East,2,8000,2024-02-09,16000
1041,38,Tablet,East,1,8000,2024-02-10,8000
1042,3,Laptop,South,4,15000,2024-02-11,60000
1043,23,Accessories,East,2,60000,2024-02-12,120000
1044,37,Mobile,North,1,8000,2024-02-13,8000
1045,37,Tablet,North,3,8000,2024-02-14,24000
1046,10,Laptop,South,5,25000,2024-02-15,125000
1047,10,Laptop,West,1,40000,2024-02-16,40000
1048,19,Tablet,West,3,15000,2024-02-17,45000
1049,17,Mobile,South,1,15000,2024-02-18,15000
1050,21,Mobile,South,5,60000,2024-02-19,300000
1051,14,Mobile,North,5,60000,2024-02-20,300000
1052,9,Accessories,West,2,15000,2024-02-21,30000
1053,1,Laptop,East,4,60000,2024-02-22,240000
1054,13,Laptop,North,1,25000,2024-02-23,25000
1055,4,Laptop,South,1,15000,2024-02-24,15000
1056,1,Accessories,West,3,60000,2024-02-25,180000
1057,40,Laptop,East,5,15000,2024-02-26,75000
1058,32,Accessories,East,1,40000,2024-02-27,40000
1059,34,Mobile,North,5,8000,2024-02-28,40000
1060,28,Tablet,West,1,15000,2024-02-29,15000
1061,31,Laptop,West,2,8000,2024-03-01,16000
1062,8,Laptop,South,4,60000,2024-03-02,240000
1063,39,Mobile,West,1,8000,2024-03-03,8000
1064,26,Tablet,West,5,15000,2024-03-04,75000
1065,34,Accessories,North,2,40000,2024-03-05,80000
1066,3,Tablet,West,1,60000,2024-03-06,60000
1067,12,Mobile,East,3,15000,2024-03-07,45000
1068,1,Mobile,North,4,60000,2024-03-08,240000
1069,5,Tablet,North,1,25000,2024-03-09,25000
1070,30,Accessories,South,2,8000,2024-03-10,16000
1071,30,Accessories,West,3,25000,2024-03-11,75000
1072,17,Laptop,South,2,15000,2024-03-12,30000
1073,23,Accessories,East,2,40000,2024-03-13,80000
1074,15,Tablet,North,3,60000,2024-03-14,180000
1075,37,Mobile,North,2,8000,2024-03-15,16000
1076,21,Laptop,North,3,60000,2024-03-16,180000
1077,14,Laptop,East,1,15000,2024-03-17,15000
1078,2,Mobile,East,3,60000,2024-03-18,180000
1079,11,Accessories,South,3,8000,2024-03-19,24000
1080,39,Mobile,South,4,15000,2024-03-20,60000
1081,38,Accessories,South,3,60000,2024-03-21,180000
1082,34,Mobile,West,3,40000,2024-03-22,120000
1083,38,Tablet,North,1,15000,2024-03-23,15000
1084,34,Accessories,North,4,15000,2024-03-24,60000
1085,18,Tablet,South,5,40000,2024-03-25,200000
1086,30,Laptop,North,1,25000,2024-03-26,25000
1087,15,Mobile,South,1,8000,2024-03-27,8000
1088,27,Laptop,West,5,25000,2024-03-28,125000
1089,34,Laptop,West,3,60000,2024-03-29,180000
1090,38,Laptop,East,2,40000,2024-03-30,80000
1091,33,Laptop,West,4,25000,2024-03-31,100000
1092,24,Mobile,South,2,15000,2024-04-01,30000
1093,15,Laptop,West,5,60000,2024-04-02,300000
1094,30,Mobile,East,1,60000,2024-04-03,60000
1095,17,Mobile,North,1,25000,2024-04-04,25000
1096,5,Tablet,South,4,25000,2024-04-05,100000
1097,29,Accessories,North,1,40000,2024-04-06,40000
1098,4,Accessories,East,1,8000,2024-04-07,8000
1099,10,Mobile,East,4,25000,2024-04-08,100000
1100,17,Tablet,East,4,25000,2024-04-09,100000
1101,10,Mobile,North,5,15000,2024-04-10,75000
1102,17,Mobile,North,1,60000,2024-04-11,60000
1103,20,Mobile,North,1,8000,2024-04-12,8000
1104,24,Tablet,North,5,15000,2024-04-13,75000
1105,5,Accessories,East,3,40000,2024-04-14,120000
1106,34,Tablet,East,3,40000,2024-04-15,120000
1107,6,Laptop,South,3,25000,2024-04-16,75000
1108,2,Tablet,South,5,25000,2024-04-17,125000
1109,13,Tablet,North,1,40000,2024-04-18,40000
1110,11,Tablet,West,5,25000,2024-04-19,125000
1111,23,Tablet,West,5,8000,2024-04-20,40000
1112,16,Accessories,East,3,25000,2024-04-21,75000
1113,31,Laptop,East,2,60000,2024-04-22,120000
1114,11,Accessories,East,1,25000,2024-04-23,25000
1115,16,Accessories,South,3,15000,2024-04-24,45000
1116,8,Tablet,South,2,8000,2024-04-25,16000
1117,4,Mobile,East,2,15000,2024-04-26,30000
1118,40,Mobile,East,4,15000,2024-04-27,60000
1119,4,Accessories,East,1,60000,2024-04-28,60000
1120,25,Accessories,West,2,8000,2024-04-29,16000
1121,3,Tablet,South,3,8000,2024-04-30,24000
1122,32,Accessories,West,4,8000,2024-05-01,32000
1123,3,Tablet,West,1,8000,2024-05-02,8000
