Customer_ID,Revenue,Order_ID,Quantity
1,980000,7,24
2,337000,3,12
3,152000,4,9
4,113000,4,5
5,521000,9,24
6,455000,4,14
8,256000,2,6
9,129000,3,10
10,580000,5,19
11,254000,4,11
12,165000,2,6
13,545000,5,13
14,355000,3,7
15,488000,3,9
16,120000,2,6
17,526000,8,20
18,520000,4,16
19,75000,2,5
20,48000,2,6
21,736000,6,19
22,302000,3,10
23,240000,3,9
24,105000,2,7
25,93000,3,9
26,539000,6,20
27,840000,5,23
28,255000,4,11
29,460000,3,8
30,286000,6,11
31,261000,3,9
32,242000,4,10
33,230000,4,12
34,940000,8,26
35,260000,2,9
36,160000,1,4
37,48000,3,6
38,283000,4,7
39,68000,2,5
40,135000,2,9
