Customer_ID,Revenue,Total_Orders,Quantity,Avg_Order_Value,Segment,Segment_Label
1,980000,7,24,140000.0,1,High Value
2,337000,3,12,112333.33333333333,2,Medium Value
3,152000,4,9,38000.0,0,Low Value
4,113000,4,5,28250.0,0,Low Value
5,521000,9,24,57888.88888888889,1,High Value
6,455000,4,14,113750.0,2,Medium Value
8,256000,2,6,128000.0,2,Medium Value
9,129000,3,10,43000.0,0,Low Value
10,580000,5,19,116000.0,1,High Value
11,254000,4,11,63500.0,0,Low Value
12,165000,2,6,82500.0,0,Low Value
13,545000,5,13,109000.0,2,Medium Value
14,355000,3,7,118333.33333333333,2,Medium Value
15,488000,3,9,162666.66666666666,2,Medium Value
16,120000,2,6,60000.0,0,Low Value
17,526000,8,20,65750.0,1,High Value
18,520000,4,16,130000.0,2,Medium Value
19,75000,2,5,37500.0,0,Low Value
20,48000,2,6,24000.0,0,Low Value
21,736000,6,19,122666.66666666667,1,High Value
22,302000,3,10,100666.66666666667,2,Medium Value
23,240000,3,9,80000.0,0,Low Value
24,105000,2,7,52500.0,0,Low Value
25,93000,3,9,31000.0,0,Low Value
26,539000,6,20,89833.33333333333,1,High Value
27,840000,5,23,168000.0,1,High Value
28,255000,4,11,63750.0,0,Low Value
29,460000,3,8,153333.33333333334,2,Medium Value
30,286000,6,11,47666.666666666664,0,Low Value
31,261000,3,9,87000.0,0,Low Value
32,242000,4,10,60500.0,0,Low Value
33,230000,4,12,57500.0,0,Low Value
34,940000,8,26,117500.0,1,High Value
35,260000,2,9,130000.0,2,Medium Value
36,160000,1,4,160000.0,2,Medium Value
37,48000,3,6,16000.0,0,Low Value
38,283000,4,7,70750.0,0,Low Value
39,68000,2,5,34000.0,0,Low Value
40,135000,2,9,67500.0,0,Low Value
