Order_Date,Revenue
2024-01-01,300000
2024-01-02,240000
2024-01-03,75000
2024-01-04,60000
2024-01-05,40000
2024-01-06,300000
2024-01-07,125000
2024-01-08,240000
2024-01-09,100000
2024-01-10,200000
2024-01-11,120000
2024-01-12,120000
2024-01-13,45000
2024-01-14,45000
2024-01-15,32000
2024-01-16,240000
2024-01-17,80000
2024-01-18,75000
2024-01-19,45000
2024-01-20,75000
2024-01-21,100000
2024-01-22,120000
2024-01-23,80000
2024-01-24,120000
2024-01-25,180000
2024-01-26,32000
2024-01-27,30000
2024-01-28,300000
2024-01-29,80000
2024-01-30,25000
2024-01-31,40000
2024-02-01,60000
2024-02-02,120000
2024-02-03,32000
2024-02-04,60000
2024-02-05,100000
2024-02-06,32000
2024-02-07,75000
2024-02-08,125000
2024-02-09,16000
2024-02-10,8000
2024-02-11,60000
2024-02-12,120000
2024-02-13,8000
2024-02-14,24000
2024-02-15,125000
2024-02-16,40000
2024-02-17,45000
2024-02-18,15000
2024-02-19,300000
2024-02-20,300000
2024-02-21,30000
2024-02-22,240000
2024-02-23,25000
2024-02-24,15000
2024-02-25,180000
2024-02-26,75000
2024-02-27,40000
2024-02-28,40000
2024-02-29,15000
2024-03-01,16000
2024-03-02,240000
2024-03-03,8000
2024-03-04,75000
2024-03-05,80000
2024-03-06,60000
2024-03-07,45000
2024-03-08,240000
2024-03-09,25000
2024-03-10,16000
2024-03-11,75000
2024-03-12,30000
2024-03-13,80000
2024-03-14,180000
2024-03-15,16000
2024-03-16,180000
2024-03-17,15000
2024-03-18,180000
2024-03-19,24000
2024-03-20,60000
2024-03-21,180000
2024-03-22,120000
2024-03-23,15000
2024-03-24,60000
2024-03-25,200000
2024-03-26,25000
2024-03-27,8000
2024-03-28,125000
2024-03-29,180000
2024-03-30,80000
2024-03-31,100000
2024-04-01,30000
2024-04-02,300000
2024-04-03,60000
2024-04-04,25000
2024-04-05,100000
2024-04-06,40000
2024-04-07,8000
2024-04-08,100000
2024-04-09,100000
2024-04-10,75000
2024-04-11,60000
2024-04-12,8000
2024-04-13,75000
2024-04-14,120000
2024-04-15,120000
2024-04-16,75000
2024-04-17,125000
2024-04-18,40000
2024-04-19,125000
2024-04-20,40000
2024-04-21,75000
2024-04-22,120000
2024-04-23,25000
2024-04-24,45000
2024-04-25,16000
2024-04-26,30000
2024-04-27,60000
2024-04-28,60000
2024-04-29,16000
2024-04-30,24000
2024-05-01,32000
2024-05-02,8000
2024-05-03,40000
2024-05-04,180000
2024-05-05,50000
2024-05-06,30000
2024-05-07,24000
2024-05-08,50000
2024-05-09,100000
2024-05-10,15000
2024-05-11,240000
2024-05-12,80000
2024-05-13,200000
2024-05-14,25000
2024-05-15,15000
2024-05-16,120000
2024-05-17,75000
2024-05-18,300000
2024-05-19,40000
2024-05-20,125000
2024-05-21,75000
2024-05-22,24000
2024-05-23,60000
2024-05-24,32000
2024-05-25,30000
2024-05-26,24000
2024-05-27,24000
2024-05-28,160000
2024-05-29,100000
